"","category","name","Runs","Sample","time.point","Fmate","Start","Stop","diff","time","name.1","total.counts","Man.beads","Man.picoEuks.syn","Man.syn.beads","Man.synpop1","Man.synpop2","Man.synpop3","Man.prochloro","Comp.synpop1","Comp.synpop2","Comp.synpop3","Comp.prochloro","picophyto","fullSyn","synPop1","synPop2","synPop3","prochl","bactAndPro","hetBact"
"64","porites","KDHIII_38_1Mar18_010.fcs",2,"PA4-april29",0,187,2.4428,2.2433,0.1995,"8min","KDHIII_38_1Mar18_010.fcs",123894,3111,5916,8386,1264,850,2605,23656,1234,836,2454,22660,3213.03258145363,26441.1027568922,6335.83959899749,4260.65162907268,13057.6441102757,118576.441102757,540973.782771536,422397.341668779
"65","porites","KDHIII_38_1Mar18_011.fcs",2,"PA4-april29",1,191,2.4457,2.2432,0.2025,"8min","KDHIII_38_1Mar18_011.fcs",122317,3690,5922,8986,1304,852,2632,24132,1240,848,2492,23073,3091.35802469136,26153.0864197531,6439.50617283951,4207.40740740741,12997.5308641975,119170.37037037,569662.288930582,450491.918560211
"66","porites","KDHIII_38_1Mar18_012.fcs",2,"PA4-april29",2,191,2.4213,2.2178,0.2035,"8min","KDHIII_38_1Mar18_012.fcs",158989,3150,5906,8317,1256,887,2659,25719,1183,875,2424,24330,3631.44963144963,25390.6633906634,6171.99017199017,4358.72235872236,13066.3390663391,126383.292383292,505981.132075472,379597.839692179
"67","porites","KDHIII_38_1Mar18_013.fcs",2,"PA3-april29",0,191,2.4469,2.2435,0.2034,"8min","KDHIII_38_1Mar18_013.fcs",158092,2932,5986,8021,1193,867,2786,22673,1139,856,2598,21734,4410.02949852507,25019.6656833825,NA,NA,NA,111470.009832842,515119.266055046,403649.256222204
"68","porites","KDHIII_38_1Mar18_014.fcs",2,"PA3-april29",1,190,2.4356,2.2344,0.2012,"8min","KDHIII_38_1Mar18_014.fcs",153280,3251,4501,7022,864,589,2074,17755,821,577,1971,17012,3628.23061630219,18742.5447316103,NA,NA,NA,88245.5268389662,445154.264972777,356908.738133811
"69","porites","KDHIII_38_1Mar18_015.fcs",2,"PA3-april29",2,190,2.4152,2.2125,0.2027,"8min","KDHIII_38_1Mar18_015.fcs",67512,3111,1065,3994,140,156,453,4908,129,146,432,4534,897.878638381845,4356.19141588555,NA,NA,NA,24213.1228416379,249351.351351351,225138.228509713
"70","madracis","KDHIII_38_1Mar18_016.fcs",2,"MM4-april29",0,192,2.5076,2.3025,0.2051,"8min","KDHIII_38_1Mar18_016.fcs",174417,2773,5959,8102,1264,803,2705,24072,1212,789,2551,23162,3071.67235494881,25982.4475865431,6162.84739151633,3915.16333495856,13188.6884446611,117367.137981472,550536.809815951,433169.671834479
"71","madracis","KDHIII_38_1Mar18_017.fcs",2,"MM4-april29",1,190,2.4392,2.2365,0.2027,"8min","KDHIII_38_1Mar18_017.fcs",126956,2994,5739,8336,1204,892,2633,23888,1164,891,2496,22908,1958.5594474593,26354.2180562407,5939.81253083374,4400.59200789344,12989.6398618648,117849.037987173,541564.245810056,423715.207822883
"72","madracis","KDHIII_38_1Mar18_018.fcs",2,"MM4-april29",2,190,2.3886,2.1859,0.2027,"8min","KDHIII_38_1Mar18_018.fcs",170117,3111,4633,7430,959,645,2136,22687,890,618,2008,21574,1549.08732116428,21307.3507646769,4731.12974839665,3182.04242723236,10537.7405032067,111924.025653675,536734.317343174,424810.291689498
"73","cont","KDHIII_38_2Mar18_001.fcs",4,"Cont8-april30",1,193,2.4374,2.2331,0.2043,"8min","KDHIII_38_2Mar18_001.fcs",138768,3597,2156,5209,989,278,224,29715,953,275,222,28196,2662.75085658346,7890.35731767009,4840.92021536956,1360.74400391581,1096.42682329907,145447.870778267,561222.222222222,415774.351443955
